game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2023-03-30,664023,4,1,2,1.986806,4.0,1,0
2023-03-30,664034,4,0,0,2.9363214285714285,4.0,4,1
2023-03-30,664040,3,2,1,0.695903,3.0,0,0
2023-03-30,664702,3,1,0,0.304,3.0,2,0
2023-03-30,664728,3,0,1,1.796903,3.0,2,0
2023-03-30,664761,4,1,0,2.524621212121211,4.0,3,1
2023-03-30,664774,4,0,1,1.3619029999999999,4.0,3,0
2023-03-30,664913,4,0,0,1.059,4.0,4,0
2023-03-30,664983,3,1,0,0.5013999999999998,3.0,2,0
2023-03-30,665155,1,0,0,0.23,1.0,1,0
2023-03-30,665161,4,2,0,0.5820000000000001,4.0,2,0
2023-03-30,665489,6,0,0,4.073980757575757,6.0,5,1
2023-03-30,665742,4,1,0,0.867,4.0,3,0
2023-03-30,665828,4,4,0,0.0,4.0,0,0
2023-03-30,665833,5,0,2,3.8931810000000002,5.0,3,1
2023-03-30,665862,4,2,0,0.083,4.0,2,0
2023-03-30,665923,3,1,0,0.298,3.0,2,0
2023-03-30,665926,3,1,0,0.005,3.0,2,0
2023-03-30,666165,2,1,0,0.12,2.0,1,0
2023-03-30,666181,4,4,0,0.0,4.0,0,0
2023-03-30,666182,6,1,0,2.1390000000000002,6.0,5,0
2023-03-30,666969,4,1,0,2.0293478260869566,4.0,3,1
2023-03-30,666971,4,1,0,1.167,4.0,3,0
2023-03-30,667670,1,1,0,0.0,1.0,0,0
2023-03-30,668227,4,0,0,1.8257619047619051,4.0,4,1
2023-03-30,668715,4,0,2,3.454806,4.0,2,1
2023-03-30,668800,1,0,0,0.109,1.0,1,0
2023-03-30,668804,5,1,1,1.470903,5.0,3,0
2023-03-30,668843,3,2,0,0.308,3.0,1,0
2023-03-30,668930,3,0,0,0.5515,3.0,3,0
2023-03-30,668939,6,0,1,4.212841461538461,6.0,5,1
2023-03-30,668952,3,2,0,0.179,3.0,1,0
2023-03-30,669003,4,2,0,0.428,4.0,2,0
2023-03-30,669004,4,1,1,0.951903,4.0,2,0
2023-03-30,669016,4,1,0,0.6639999999999999,4.0,3,0
2023-03-30,669127,3,0,1,0.7269030000000001,3.0,2,0
2023-03-30,669221,5,1,0,0.563,5.0,4,0
2023-03-30,669242,5,1,0,1.519,5.0,4,0
2023-03-30,669257,5,0,0,2.342,5.0,5,0
2023-03-30,669261,4,2,0,0.477,4.0,2,0
2023-03-30,669304,5,0,2,1.460806,5.0,3,0
2023-03-30,669352,2,0,0,0.008,2.0,2,0
2023-03-30,669357,5,2,2,1.509903,4.0,1,0
2023-03-30,669701,2,1,1,0.695903,2.0,0,0
2023-03-30,669720,5,2,0,0.734,5.0,3,0
2023-03-30,669742,5,0,1,0.8689030000000001,5.0,4,0
2023-03-30,669743,3,1,0,0.16599999999999998,3.0,2,0
2023-03-30,670042,2,0,0,0.5760000000000001,2.0,2,0
2023-03-30,670156,3,1,0,0.22799999999999998,3.0,2,0
2023-03-30,670541,4,2,0,2.726005,4.0,1,1
2023-03-30,670623,4,0,0,0.838,4.0,4,0
2023-03-30,670764,1,0,0,0.357,1.0,1,0
2023-03-30,670770,5,3,1,0.8599030000000001,5.0,1,0
2023-03-30,671213,4,1,1,0.8509030000000001,4.0,2,0
2023-03-30,671277,4,1,0,0.49,4.0,3,0
2023-03-30,671739,5,1,1,2.108076913043478,5.0,3,1
2023-03-30,672284,3,1,0,1.3575,3.0,2,1
2023-03-30,672386,5,1,0,1.8426,5.0,4,1
2023-03-30,672515,3,1,0,1.1659199999999998,3.0,2,1
2023-03-30,673237,4,2,0,0.28300000000000003,4.0,2,0
2023-03-30,673357,5,1,0,1.19,4.0,2,0
2023-03-30,673490,4,0,0,1.213,4.0,4,0
2023-03-30,673962,4,2,1,1.180903,4.0,1,0
2023-03-30,675986,5,3,0,0.8470000000000001,5.0,2,0
2023-03-30,676480,4,2,0,0.115,4.0,2,0
2023-03-30,676694,3,2,0,1.0587272727272727,3.0,1,1
